sku,price,description
BIC-MAXI-HAZMAT,2.50,"The BIC Maxi is the lighter that's always there when you need it — consistent flame, ergonomic grip, and the kind of reliability that makes you keep one in every room, every bag, and every jacket pocket. Once you have one you'll wonder how you ever borrowed someone else's."
BT-380VV,10.00,"The 380 is your reliable, no-nonsense battery — slim, pocket-friendly, and it just works with every cart you throw at it. Three voltage levels let you go light and flavorful or thick and cloudy depending on the mood. The battery that's always charged when you need it."
BT-GROOVE-BOLT-24PK,1152.00,"The Groove Bolt is clean, simple, and built to last — variable voltage 510 thread battery in a slim design that works with every cart without any fuss. Twist the bottom to change voltage, click to preheat, and go. The battery that never lets you down."
BT-GROOVE-CARAPLUS,300,"The Cara Plus goes beyond carts — the coil-less quartz cup lets you load wax, shatter, or rosin directly without any attachment. Variable voltage concentrates vaporizer that fits in your front pocket and hits cleaner than you'd expect. One device for everything."
BT-PENJAMINCARKEY-ASST,25.00,"Disguised as a car key fob, the Penjamin is the most discreet 510 battery you'll ever own. Slip it onto your keychain and nobody gives it a second look — until you need it, and then it delivers every single time. Variable voltage, preheat mode, and enough power to last your whole day."
BT-V846D2,50.00,"The SYNDR Dry Herb Vaporizer is made for herb purists who want actual vapor, not combustion — 880mAh, variable voltage temperature control, and a chamber that gets the most out of every pack. Real flavor, real sessions, no smoke."
BUNDLE-PCLDISPFULL,1000.00,"The ultimate variety bundle — 100 hand pipes and 100 chillums packed together so you can find your favorite style without committing to just one. All glass, all different looks, all ready to use. The best way to figure out what you love."
CB-GLOB-TRAVEL,240,Glob Mops are cut specifically for quartz bangers — the precise tips reach every corner to wipe it clean after each dab so your next hit tastes just as good as your first. Small enough to toss in your kit and take anywhere.
CLE-RANDYBLK12,160,"Randy's Black Label cuts through resin like it's not even there — soak your piece, shake it, rinse it, and it looks like the day you bought it. No scrubbing, no soaking for hours. Your glass deserves to be clean, and this makes it easy."
FL SB5-HAZMAT,120,"Special Blue 5X Butane burns cleaner than anything you've tried before — ultra-refined to remove the impurities that clog torch jets and leave a taste behind. Refill your torch right and it lights faster, lasts longer, and never gets in the way of your session."
GND-ZNC50,10.00,"The LuvBuds 50mm Zinc Grinder is built to last — four pieces of solid zinc alloy that grind sharp and smooth every single time, with a kief catcher at the bottom so nothing goes to waste. Toss it in your bag, use it for years. It just works."
GROOVE-GND-RIPSTER,80,"The Ripster electronic grinder does in one click what takes a minute by hand — just drop your herb in, press the button, and get a perfectly fluffy, even grind every time. Window lid so you can see exactly how much you've got. USB rechargeable so it's always ready."
GROOVE-SPARK,479.76,"The Groove Spark Torch locks open so you can actually focus on your session — adjustable flame, reliable ignition every single time, and a build that feels solid in your hand. Colors vary so pick your favorite and keep it close."
HP-OGCHILL,600.00,"The OG Chillum has been the go-to one-hitter for a reason — simple glass tube, clean draw, no fuss. Pack it tight and it's a perfect personal hit every time. Clear glass so you can see exactly what you're working with."
LOOK-BEAR-ASST-5PK,560.00,"The Lookah Bear is the battery you hand to a friend and they immediately want one — the bear shape is cute, the performance is serious. 500mAh, variable voltage, and preheat mode in a form factor so fun you'll actually miss it when it's charging."
LOOK-BEARTDYE-ASST-5PK,600.00,"Same great Bear battery, now with a tie-dye finish that's as fun to look at as it is to use. 500mAh keeps you going, variable voltage dials in your perfect hit, and preheat mode means thick pulls every time. The battery that's always the first thing people notice."
LOOK-CAT-BL,720.00,"The Lookah Cat crouches in your palm and purrs with every hit — variable voltage, preheat mode, and a 750mAh battery that outlasts your longest sessions. The cat silhouette makes it impossible to leave on a table without getting compliments. Serious power, serious personality."
LOOK-GTA-ASST-5PK,600.00,"The Lookah Guitar is a 350mAh variable voltage battery shaped like a mini guitar — it riffs on everything you expect from a vape battery and just makes it more fun. Slim, lightweight, and powerful enough for all-day use. The one your friends will borrow and forget to return."
LOOK-SH-PRO-PLUS-BK,53.99,"The Seahorse Pro Plus is the nectar collector that actually gets it right — electric heat means no torch, no wait, just dip and rip. The coil hits the right temperature every time so you're tasting terps, not burning them. Compact enough to go anywhere, powerful enough to handle serious wax."
LOOK-SHPROPLUS-ASST-6PK,1200.00,"The Spatter Seahorse Pro Plus brings the electric dab rig experience to your pocket — no torch, no rig, just tip-dip-rip. The spatter color pattern makes every unit look custom. 650mAh, two-in-one nectar collector and 510 battery."
LOOK-SNAIL2.0-ASST-6PK,900.00,"The Snail 2.0 wraps around your finger like it was made for your hand — because it kind of was. Preheat mode, variable voltage, and a satisfying ergonomic shape that makes every pull feel intentional. Available in a range of colors so you can match your vibe."
LOOK-SNAIL2.0-BK,25.00,"The Snail 2.0 wraps around your finger and fits in the palm of your hand — it's the battery you never have to put down. Preheat mode unlocks thick pulls from any cart, and the 350mAh charges fast so you're never waiting long. Small size, big personality."
LOOK-UNICORNMINI-BK,1800.00,"The Unicorn Mini is a full portable electric dab rig that fits in your pocket — water filtration, precise temperature control, and hits smoother than most desktop setups. Torch-free dabbing finally done right."
OOZ-1187,20.00,"The Ooze Slim Twist is the pen battery everyone starts with and nobody stops using — simple twist dial for voltage, USB charger included, and it works flawlessly with every 510 cart on the market. Slim enough to forget it's in your pocket until you need it."
SE-BT-380VV-BLK,800.00,"The flashlight-style 380mAh battery is a classic for a reason — slim, reliable, preheat-capable, and it works with every 510 cart without question. Variable voltage so you dial in exactly the hit you want, USB charger included, and enough power to carry you through your whole day."
SE-BT-DOPPLEGANGER,1200.00,"Two pods, one battery — the Doppelganger lets you load two different carts and switch between them on the fly. 650mAh preheat variable voltage with a dual-pod design that's genuinely unlike anything else out there. For the person who always wants options."
SE-BT-EV-THERMO-10PK,29.95,"The Hover EV shifts colors with heat so you always know when it's ready — from cold blue to hot orange, it's part battery, part mood ring. 650mAh keeps you going all day, and the variable voltage means you dial in the exact thickness you want from your cart. It's the battery people ask about."
SE-BT-GASTANKDISP,1250.00,"The Gas Tank aesthetic meets real 510 performance — 650mAh, preheat mode, and variable voltage in a form factor that looks custom even straight out of the box. Thermocolor finish shifts with heat so you always know when it's warmed up and ready."
SE-BT-IRONLUNG5P-SOLID,45.00,"The Iron Lung is dual-mode — use it as a standard 510 cart battery or flip into forced air mode and take a seriously thick, hands-free dab hit. 650mAh, variable voltage, and the kind of airflow that makes every cart hit like it's the first one. Solid color series."
SE-BT-IRONLUNG5P-THERMO,900.00,"The Iron Lung runs in two modes — standard 510 cart or forced air dab mode for the kind of thick, automatic hit that feels like a whole different device. The thermocolor finish shifts as it warms up so you can see it getting ready. 650mAh keeps you going all day."
SE-CC-SPINSHROOM-BX-12PK,14.99,"The Mushroom Spinner Carb Cap spins your dab in circles, pushing heat across every surface of the banger and vaporizing everything completely. Full extraction, lower temps, way more flavor — and it looks incredible doing it. The upgrade your rig has been waiting for."
SE-DSTM-POP-36PC-BX,360.00,"Drop in a SirEEL downstem and feel the difference immediately — the glass-on-glass seal and diffusion slits break your smoke into smaller bubbles, cooling it and filtering it before it ever reaches your lungs. A simple upgrade that makes your favorite bong feel brand new."
SE-GOG-FULLYWIG-14MM-BX,180.00,"A heady flower bowl with a handle changes everything — you never burn your fingers, you pack deeper, and the hand-worked glass swirling through the joint makes your setup look intentional and custom. 14mm fits most bongs and rigs."
SE-HP-2.5P40G-BX,4.99,"Tiny but mighty — the 2.5"" pipe slips into any pocket and goes absolutely anywhere with you. Simple, clean, glass-on-glass draw with zero harshness. Sometimes the smallest piece is the one you reach for every day."
SE-HP-3P55G-BX,7.99,"The 3.5"" spoon hits the sweet spot between pocket-friendly and comfortable in your hand. The draw is clean and smooth, the glass is thick enough to feel confident about, and the colors are good enough that you'll actually want to leave it sitting out. Great pipe, full stop."
SE-HP-4P85G-BX,7.00,"At 4.5 inches, this spoon fits perfectly in your hand and your pocket — it's the pipe you grab without thinking because it just works. Borosilicate glass, clean draw, and colors so varied that every one feels like finding something special. Your everyday carry, elevated."
SE-HP-CHILL3-BX,3.00,"The classic one-hitter, perfected. Pack it, hit it, pocket it — the 3"" chillum is fast, discreet, and surprisingly smooth for something so simple. In bold assorted colors so it's easy to find at the bottom of any bag."
SE-HP-COLRGLYC45-BX,19.99,"Stick it in the freezer for 20 minutes and the glycerin-filled chamber chills your smoke to an ice-cold smoothness that you have to feel to believe. No ice, no mess — just cool, flavorful hits every single time. Once you try a glycerin spoon, regular pipes feel like a downgrade."
