sku,price,description,page_url
BIC-MAXI-HAZMAT,2.50,"The BIC Maxi is the lighter that's always there when you need it — consistent flame, ergonomic grip, and the kind of reliability that makes you keep one in every room, every bag, and every jacket pocket. Once you have one you'll wonder how you ever borrowed someone else's.",https://smoke-shop-in-a-box.onrender.com/bic-maxi-hazmat.html
BT-380VV,10.00,"The 380 is your reliable, no-nonsense battery — slim, pocket-friendly, and it just works with every cart you throw at it. Three voltage levels let you go light and flavorful or thick and cloudy depending on the mood. The battery that's always charged when you need it.",https://smoke-shop-in-a-box.onrender.com/bt-380vv.html
BT-GROOVE-BOLT-24PK,1152.00,"The Groove Bolt is clean, simple, and built to last — variable voltage 510 thread battery in a slim design that works with every cart without any fuss. Twist the bottom to change voltage, click to preheat, and go. The battery that never lets you down.",https://smoke-shop-in-a-box.onrender.com/bt-groove-bolt-24pk.html
BT-GROOVE-CARAPLUS,300,"The Cara Plus goes beyond carts — the coil-less quartz cup lets you load wax, shatter, or rosin directly without any attachment. Variable voltage concentrates vaporizer that fits in your front pocket and hits cleaner than you'd expect. One device for everything.",https://smoke-shop-in-a-box.onrender.com/bt-groove-caraplus.html
BT-PENJAMINCARKEY-ASST,25.00,"Disguised as a car key fob, the Penjamin is the most discreet 510 battery you'll ever own. Slip it onto your keychain and nobody gives it a second look — until you need it, and then it delivers every single time. Variable voltage, preheat mode, and enough power to last your whole day.",https://smoke-shop-in-a-box.onrender.com/bt-penjamincarkey-asst.html
BT-V846D2,50.00,"The SYNDR Dry Herb Vaporizer is made for herb purists who want actual vapor, not combustion — 880mAh, variable voltage temperature control, and a chamber that gets the most out of every pack. Real flavor, real sessions, no smoke.",https://smoke-shop-in-a-box.onrender.com/bt-v846d2.html
BUNDLE-PCLDISPFULL,1000.00,"The ultimate variety bundle — 100 hand pipes and 100 chillums packed together so you can find your favorite style without committing to just one. All glass, all different looks, all ready to use. The best way to figure out what you love.",https://smoke-shop-in-a-box.onrender.com/bundle-pcldispfull.html
CB-GLOB-TRAVEL,240,Glob Mops are cut specifically for quartz bangers — the precise tips reach every corner to wipe it clean after each dab so your next hit tastes just as good as your first. Small enough to toss in your kit and take anywhere.,https://smoke-shop-in-a-box.onrender.com/cb-glob-travel.html
CLE-RANDYBLK12,160,"Randy's Black Label cuts through resin like it's not even there — soak your piece, shake it, rinse it, and it looks like the day you bought it. No scrubbing, no soaking for hours. Your glass deserves to be clean, and this makes it easy.",https://smoke-shop-in-a-box.onrender.com/cle-randyblk12.html
FL SB5-HAZMAT,120,"Special Blue 5X Butane burns cleaner than anything you've tried before — ultra-refined to remove the impurities that clog torch jets and leave a taste behind. Refill your torch right and it lights faster, lasts longer, and never gets in the way of your session.",https://smoke-shop-in-a-box.onrender.com/fl-sb5-hazmat.html
